,Customer_Name,Date,Ratings,Review_Title,Reviews,Product_name,Price
0,Emy,"August 5, 2022",4.0 out of 5 stars,"For so small, does alot","For On The Go it's great. You can add more memory but I don't know if it well slow down, cause have not done it yet . I have a Mac and I needed a windows for certain things. so far love it.","2020 Newest HP Stream 11.6 inch HD Laptop, Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Webcam, HDMI, Windows 10",$195.00
1,Nealla,"August 15, 2022",5.0 out of 5 stars,Great Product,Great product exactly what I needed it for.,"2020 Newest HP Stream 11.6 inch HD Laptop, Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Webcam, HDMI, Windows 10",$195.00
2,Bernice Nichols-Parmanand,"March 4, 2022",5.0 out of 5 stars,Perfect for Grade 3 online learning,"Covid hit and a family of four is now forced to do everything from home, so we head to Amazon and order HP laptops for everyone, from high end to this.My husband suggested this and honestly I was not on board. We have been using this for more than a year and it's fantastic for my 8yr old son's Grade 3 online interactive class. We paired it with a larger screen eventually when the 11"" screen seemed hard on him for 6 hours a day and that's been helpful, but the laptop itself is quite good for the price point.He uses it for normal web browsing to supplement his learning, 6hours of online classes via zoom and after school for watching YouTube and various games. Granted he isn't pressuring it like maybe an adult but he I'd also not as careful, and it's survived.Well worth the money in my view.","2020 Newest HP Stream 11.6 inch HD Laptop, Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Webcam, HDMI, Windows 10",$195.00
3,Nicolescu Tismaneanu,"July 27, 2022",2.0 out of 5 stars,Beware!!,"I cannot in good faith say anything nice about this thing. I'm sorry. Let the Buyer Beware truly applies here.But it is what it is. I'm sure I'll use it as a paperweight or something. Trying to be grateful that it was cheap, but... Maybe I will find a way to be happy with it.","2020 Newest HP Stream 11.6 inch HD Laptop, Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Webcam, HDMI, Windows 10",$195.00
4,Amazon Customer,"March 30, 2022",5.0 out of 5 stars,Good computer,Happy with my computer,"2020 Newest HP Stream 11.6 inch HD Laptop, Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Webcam, HDMI, Windows 10",$195.00
5,Gwhitebeard,"November 16, 2020",5.0 out of 5 stars,Awesome for the Money simply a great small laptop.,"I bought this updated 11.5 Stream to replace a 6 year old original version. It functioned flawlessly right out of the box, battery life is all day, over 11 hours and is fully capable of live video streaming. You have to know what you are buying as it does not have a touch screen. however coupled with a small microsoft wireless mouse I don't miss it one bit. The PC itself has a jewel like quality and is easily configured with the Windows software. 64 GB allows for more pictures and applications. simply put, a great value and a marvelous home laptop. It is amazing for the Money! Even comes with Stereo Sound!","2020 Newest HP Stream 11.6 inch HD Laptop, Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Webcam, HDMI, Windows 10",$195.00
6,Dolores D. Doonan,"August 2, 2021",5.0 out of 5 stars,Perfect for Me,"I wanted a small laptop to move around with in the house.  I love this product it works great and is easy for me to move and take with me no matter where I go.  I have had larger laptops and they were great, but for what I use this laptop for it's perfect for me.","2020 Newest HP Stream 11.6 inch HD Laptop, Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Webcam, HDMI, Windows 10",$195.00
7,RuthE,"December 10, 2020",5.0 out of 5 stars,Made life easier,This perfect sized laptop is so handy and convenient whether sitting in my living room browsing or waiting for a patient I have transported to the hospital. It is fast and seems to connect even better than my other devices. Well worth the inexpensive cost!!,"2020 Newest HP Stream 11.6 inch HD Laptop, Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Webcam, HDMI, Windows 10",$195.00
8,Tenisha,"November 11, 2020",4.0 out of 5 stars,Love it,Great computer and size is just right,"2020 Newest HP Stream 11.6 inch HD Laptop, Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Webcam, HDMI, Windows 10",$195.00
9,Rui Lopes,"April 11, 2022",1.0 out of 5 stars,Motherboard is fried after 3 months of use,The screen is extremely small and difficult to work with. The motherboard has a fatal failure 3 months after purchase. Very difficult to get technical support.,"2020 Newest HP Stream 11.6 inch HD Laptop, Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Webcam, HDMI, Windows 10",$195.00
10,MB,"December 27, 2020",5.0 out of 5 stars,Pleased with the price and product,Overall good product,"2020 Newest HP Stream 11.6 inch HD Laptop, Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Webcam, HDMI, Windows 10",$195.00
11,Steve,"May 4, 2022",1.0 out of 5 stars,Chomebook not a computer,Too slow and very small ...good for a young child if that,"2020 Newest HP Stream 11.6 inch HD Laptop, Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Webcam, HDMI, Windows 10",$195.00
12,Kindle Customer,"July 3, 2021",1.0 out of 5 stars,Arrived defective!,Arrived out of original box and no packaging.  No manual as well. On set up it had issues and wifi would not work.,"2020 Newest HP Stream 11.6 inch HD Laptop, Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Webcam, HDMI, Windows 10",$195.00
13,ian5576,"June 17, 2021",1.0 out of 5 stars,This computer won't let you use it without signing up for a Microsoft account,Why do I HAVE TO get a microsoft account in order to use my new computer? This is garbage and I will probably return it.,"2020 Newest HP Stream 11.6 inch HD Laptop, Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Webcam, HDMI, Windows 10",$195.00
